recipeID,Recipe Name,Course,Cuisine,Preparation,Cooking length,Spicy levels,Dairy,Gluten,Vegan,Vegetarian,Link / Location
1,Chick Pea Soup,appetiser,Greek,boil,Long,low,0,0,1,0,http://www.ivu.org/recipes/greek/chick.html
2,Smoky chickpeas on toast,appetiser,Western,"fry, toast",Quick,low,0,1,0,1,https://www.bbcgoodfood.com/recipes/smoky-chickpeas-toast
3,Saucy bean baked eggs,appetiser,Western,fry,Quick,low,0,0,0,1,https://www.bbcgoodfood.com/recipes/saucy-bean-baked-eggs
4,Sweet potatoes with mushrooms & rosemary,appetiser,Western,"mircowave, fry, bake",Quick,low,0,0,0,1,https://www.bbcgoodfood.com/recipes/sweet-potatoes-mushrooms-rosemary
5,Rice Tikkis,appetiser,Indian,fry,Medium,low,0,0,1,0,https://studentrecipes.com/recipes/snacks/rice-tikkis
6,Vanilla Bean Cheesecake with Walnut Crust,dessert,Western,bake,Long,low,1,0,0,1,https://www.foodandwine.com/recipes/vanilla-bean-cheesecake-walnut-crust
7,Mango Sticky Rice (Khao Niaow Ma Muang),dessert,Thai,steam,Medium,low,0,0,1,0,http://thaifood.about.com/od/thaidesserts/r/thaidessert.htm
8,Peanut butter & jam flapjacks,dessert,Western,bake,Quick,low,0,0,0,1,https://www.bbcgoodfood.com/recipes/peanut-butter-and-jam-flapjacks
9,Raspberry & pistachio tea cake,dessert,Western,"bake, mix",Medium,low,1,1,0,1,https://www.bbcgoodfood.com/recipes/raspberry-pistachio-tea-cake
10,Cupcakes,dessert,Western,"bake, mix",Quick,low,1,1,0,1,https://www.bbcgoodfood.com/recipes/cupcakes
11,blueberry muffins,dessert,Western,"bake, mix",Quick,low,1,1,0,1,https://www.bbcgoodfood.com/recipes/blueberry-muffin
12,Pizza Dough,main,Western,bake,Quick,low,0,1,1,0,http://www.achefshelp.com/recipe/5625/chicken-spicy-saladkai-plah-plain-and-spicy-salads-thailand-around-the-world
13,Chicken Rice Curry With Coconut ( Koa Mook Gai ),main,Thai,stir fry,Medium,low,0,0,0,0,http://www.khiewchanta.com/archives/curries/chicken-curry-recipes/chicken-rice-curry-with-coconu-1.html
14,Chicken Spicy Salad Recipe (Kai Plah),main,Thai,steam,Medium,high,0,0,0,0,http://www.thaifoodplus.com/Thai/Recipes/Salad/Chicken_Spicy_Salad_Recipe.php
15,Spinach Pie (Spanakopita),main,Greek,baked,Medium,low,0,1,0,1,http://en.wikibooks.org/wiki/Cookbook:Spanakopita
16,Roasted aubergine & tomato curry,main,Indian,roast,Medium,low,1,0,0,1,https://www.bbcgoodfood.com/recipes/roasted-aubergine-tomato-curry
17,Cauli-kale sausage bake,main,Western,bake,Medium,low,1,0,0,0,https://www.bbcgoodfood.com/recipes/cali-kale-sausage-bake
18,Sausage ragu,main,Western,"fry, boil",Medium,higih,1,0,0,0,https://www.bbcgoodfood.com/recipes/sausage-ragu
19,Double bean & roasted pepper chilli,main,Western,fry,Long,high,0,0,1,0,https://www.bbcgoodfood.com/recipes/double-bean-roasted-pepper-chilli
20,nasi goreng,main,Indonesian,"fry, boil",Quick,low,0,0,0,1,https://www.bbcgoodfood.com/recipes/quick-spicy-nasi-goreng
21,Mexican pulled chicken & beans,main,Mexican,bake,Long,low,0,0,0,0,https://www.bbcgoodfood.com/recipes/mexican-pulled-chicken-beans
22,Cheesy ham & broccoli pasta,main,Western,"boil, fry",Quick,low,1,1,0,0,https://www.bbcgoodfood.com/recipes/cheesy-ham-broccoli-pasta
23,"Creamy garlic, lemon & spinach salmon",main,Western,"fry, microwave",Quick,low,1,0,0,0,https://www.bbcgoodfood.com/recipes/creamy-garlic-lemon-spinach-salmon
24,Caponata pasta,main,Western,"boil, fry",Quick,low,0,1,0,1,https://www.bbcgoodfood.com/recipes/caponata-pasta
25,Baked Garlic Parmesan Chicken,main,Western,bake,Medium,low,0,0,0,0,https://www.allrecipes.com/recipe/55860/baked-garlic-parmesan-chicken/
26,cottage pie,main,Western,"fry, bake",Medium,low,0,1,0,0,https://www.goodtoknow.co.uk/recipes/cottage-pie
27,Roast chicken,main,Western,roast,Long,low,0,1,0,0,https://www.goodtoknow.co.uk/recipes/roast-chicken-with-sage-and-onion-stuffing
28,Pork Fried Rice,main,Oriental,stir fry,Quick,low,0,0,0,0,https://www.allrecipes.com/recipe/230818/pork-fried-rice/
29,butter bean & chorizo stew,main,Western,stew,Quick,high,0,0,0,0,https://www.bbcgoodfood.com/recipes/butter-bean-chorizo-stew
30,Prawn & leek frittata,main,Western,"fry, grill",Quick,low,1,0,0,0,https://www.bbcgoodfood.com/recipes/prawn-leek-frittata
31,Sausages with pesto mash,main,Western,"fry, boil",Quick,low,0,0,0,0,https://www.bbcgoodfood.com/recipes/sausage-pesto-mash
32,Moroccan lamb,main,Moroccan,fry,Medium,high,0,0,0,0,https://www.bbcgoodfood.com/recipes/moroccan-lamb
33,Muddled potato & mozzarella tortilla,main,Western,"fry, grill",Quick,low,1,0,0,1,https://www.bbcgoodfood.com/recipes/muddled-potato-mozzarella-tortilla
34,Squash & coconut curry,main,Indian,fry,Quick,low,0,0,1,0,https://www.bbcgoodfood.com/recipes/squash-coconut-curry
35,Spicy lamb with chickpeas,main,Western,broil,Medium,low,0,0,0,0,https://www.bbcgoodfood.com/recipes/spicy-lamb-chickpeas
